pressure(hPa),altitude(m),wind_u(m/s),wind_v(m/s),latitude(deg),longitude(deg),daytime,year,month,day,hour,wind_speed(m/s),wind_direction(deg),wind_direction(-)
500,5820.19,7.41858,1.72422,42.5,143.5,2017073003,2017,7,30,3,7.616315633217941,256.9156625097536,西南西
400,7515.27,11.4703,0.975634,42.5,143.5,2017073003,2017,7,30,3,11.511717673395053,265.13827139038455,西
300,9583.16,19.9012,-0.748728,42.5,143.5,2017073003,2017,7,30,3,19.91527943710517,272.1545801942785,西
250,10836.9,31.8079,-1.38283,42.5,143.5,2017073003,2017,7,30,3,31.837944676421873,272.4893332645208,西
200,12302.1,35.9025,-6.35424,42.5,143.5,2017073003,2017,7,30,3,36.46046999460649,280.03661652742585,西
150,14134.1,30.7477,-3.35762,42.5,143.5,2017073003,2017,7,30,3,30.93048120146856,276.2319528221084,西
100,16655.1,16.5102,-0.725851,42.5,143.5,2017073003,2017,7,30,3,16.52614787886763,272.5173187355061,西
1000,108.507,-2.32976,2.39413,42.5,143.5,2017073006,2017,7,30,6,3.340604752810485,135.78069156581506,南東
975,324.726,-1.88251,2.24099,42.5,143.5,2017073006,2017,7,30,6,2.926752480173204,139.9685655218226,南東
950,547.68,-1.7296099999999999,1.58238,42.5,143.5,2017073006,2017,7,30,6,2.3442434209143044,132.45466998494862,南東
925,777.561,-2.46218,1.14975,42.5,143.5,2017073006,2017,7,30,6,2.7173986485055885,115.03089230658897,東南東
900,1013.09,-1.42954,0.538586,42.5,143.5,2017073006,2017,7,30,6,1.5276319880769715,110.6441392991021,東南東
850,1501.17,0.616905,-1.20523,42.5,143.5,2017073006,2017,7,30,6,1.353939116771873,332.8940610430162,北北西
800,2012.85,2.87289,0.216984,42.5,143.5,2017073006,2017,7,30,6,2.8810725447923033,265.68075768367714,西
700,3122.11,3.0030799999999997,2.49165,42.5,143.5,2017073006,2017,7,30,6,3.902154431708207,230.31756770182383,南西
600,4377.17,4.00735,2.21576,42.5,143.5,2017073006,2017,7,30,6,4.579131620744264,241.0607409185193,西南西
500,5820.97,7.481269999999999,2.38999,42.5,143.5,2017073006,2017,7,30,6,7.8537540713342935,252.28323534637806,西南西
400,7517.17,10.3142,1.0247700000000002,42.5,143.5,2017073006,2017,7,30,6,10.364983125548251,264.3259844468874,西
300,9593.48,25.5182,-4.2432099999999995,42.5,143.5,2017073006,2017,7,30,6,25.868578668803973,279.440860744,西
250,10851.2,34.6729,-2.16352,42.5,143.5,2017073006,2017,7,30,6,34.740334097420536,273.5705135435475,西
200,12320.6,36.8448,-0.599749,42.5,143.5,2017073006,2017,7,30,6,36.84968094709913,270.9325617714705,西
150,14150.4,31.8737,-3.3899199999999996,42.5,143.5,2017073006,2017,7,30,6,32.05346017665487,276.0708581906627,西
100,16666.5,16.6663,-2.07254,42.5,143.5,2017073006,2017,7,30,6,16.794671111444842,277.08863390062993,西
1000,110.507,-2.4393,1.6424,42.5,143.5,2017073009,2017,7,30,9,2.940690777691527,123.95269453444628,南東
975,326.769,-1.52229,2.82818,42.5,143.5,2017073009,2017,7,30,9,3.2118482150469068,151.70829366330273,南南東
950,549.274,-0.0891724,3.68106,42.5,143.5,2017073009,2017,7,30,9,3.6821399267982415,178.61230104825884,南
925,778.462,-0.977608,3.33509,42.5,143.5,2017073009,2017,7,30,9,3.4754197889987335,163.6626658351703,南南東
900,1013.65,-2.08763,2.0540000000000003,42.5,143.5,2017073009,2017,7,30,9,2.9286712032763256,134.53476898755602,南東
850,1502.15,-0.93758,-1.1193,42.5,143.5,2017073009,2017,7,30,9,1.4600988824048868,39.95117542383196,北東
800,2014.7,1.10345,0.917919,42.5,143.5,2017073009,2017,7,30,9,1.4353317362411382,230.2441895580199,南西
700,3123.6,2.99041,3.31854,42.5,143.5,2017073009,2017,7,30,9,4.467131036772931,222.02271543863966,南西
600,4378.59,3.23319,2.44996,42.5,143.5,2017073009,2017,7,30,9,4.05657756954061,232.846855153084,南西
500,5822.16,6.90325,2.8218400000000003,42.5,143.5,2017073009,2017,7,30,9,7.457723617036233,247.7667395609125,西南西
400,7516.14,9.859869999999999,4.0701,42.5,143.5,2017073009,2017,7,30,9,10.6668997570475,247.56943458703037,西南西
300,9598.07,20.4276,1.11616,42.5,143.5,2017073009,2017,7,30,9,20.45807065452654,266.8724799440697,西
250,10856.6,26.9558,-2.29316,42.5,143.5,2017073009,2017,7,30,9,27.053164998306574,274.86250833715974,西
200,12320.2,31.5395,-1.8109099999999998,42.5,143.5,2017073009,2017,7,30,9,31.59144591939565,273.2861556059905,西
150,14149.5,27.5568,-5.2186699999999995,42.5,143.5,2017073009,2017,7,30,9,28.046599487440538,280.7236036904361,西
100,16667.7,16.7796,-3.3908099999999997,42.5,143.5,2017073009,2017,7,30,9,17.11877824542686,281.4244401116953,西北西
1000,119.402,-2.8262400000000003,0.9635959999999999,42.5,143.5,2017073012,2017,7,30,12,2.9859922620154262,108.82661865988932,東南東
975,335.8,-2.53395,1.93694,42.5,143.5,2017073012,2017,7,30,12,3.1894575034165293,127.3941337471648,南東
950,557.747,-1.56103,3.24087,42.5,143.5,2017073012,2017,7,30,12,3.597228518985137,154.28127620326077,南南東
925,785.678,-0.7558020000000001,3.94038,42.5,143.5,2017073012,2017,7,30,12,4.012210264630208,169.14200627198568,南
900,1019.94,-0.0488091,4.06384,42.5,143.5,2017073012,2017,7,30,12,4.0641331023777765,179.3118771969692,南
850,1507.37,-1.8068799999999998,2.56725,42.5,143.5,2017073012,2017,7,30,12,3.1393610650735924,144.861379014251,南東
800,2019.18,-0.921402,2.7227,42.5,143.5,2017073012,2017,7,30,12,2.8743828790897012,161.3034194512254,南南東
700,3126.27,2.39649,5.65848,42.5,143.5,2017073012,2017,7,30,12,6.145043549927047,202.95371988144825,南南西
600,4382.09,1.6908599999999998,3.8877800000000002,42.5,143.5,2017073012,2017,7,30,12,4.239556682956367,203.50502123239272,南南西
500,5826.87,3.9869199999999996,5.09564,42.5,143.5,2017073012,2017,7,30,12,6.470013763200199,218.04026276570343,南西
400,7517.69,6.87387,11.5643,42.5,143.5,2017073012,2017,7,30,12,13.452996813606253,210.72743310819197,南南西
300,9603.6,22.1723,1.74836,42.5,143.5,2017073012,2017,7,30,12,22.2411251958978,265.4913654130779,西
250,10863.4,23.8678,1.83028,42.5,143.5,2017073012,2017,7,30,12,23.93787379276614,265.61490853772625,西
200,12330.2,29.0496,-0.880907,42.5,143.5,2017073012,2017,7,30,12,29.062953347907523,271.736918616022,西
150,14161.3,29.9347,-6.42546,42.5,143.5,2017073012,2017,7,30,12,30.616544551950994,282.11466855454796,西北西
100,16679.9,17.4631,-4.34622,42.5,143.5,2017073012,2017,7,30,12,17.995818678193,283.97584242255255,西北西
1000,115.785,-2.50338,-1.14899,42.5,143.5,2017073015,2017,7,30,15,2.7544671797826887,65.34603820252921,東北東
975,332.208,-2.64205,0.279377,42.5,143.5,2017073015,2017,7,30,15,2.6567799514880788,96.03616849895101,東
950,554.308,-2.60033,3.01284,42.5,143.5,2017073015,2017,7,30,15,3.9798141884389526,139.20309209328812,南東
925,782.502,-2.69516,5.59185,42.5,143.5,2017073015,2017,7,30,15,6.207469198320681,154.26686203498488,南南東
900,1016.38,-2.40673,6.47665,42.5,143.5,2017073015,2017,7,30,15,6.909366433718796,159.61488058692493,南南東
850,1501.41,-2.82737,3.64598,42.5,143.5,2017073015,2017,7,30,15,4.613804425558153,142.20728064934,南東
800,2013.21,-1.24488,3.7613,42.5,143.5,2017073015,2017,7,30,15,3.9619570800804995,161.68697072362042,南南東
700,3123.12,3.4167400000000003,6.375769999999999,42.5,143.5,2017073015,2017,7,30,15,7.233571408405394,208.18661197476632,南南西
600,4375.16,1.81962,3.2178400000000003,42.5,143.5,2017073015,2017,7,30,15,3.6966892228046437,209.48723489020483,南南西
500,5814.54,6.03596,4.95591,42.5,143.5,2017073015,2017,7,30,15,7.809856403910382,230.61181110201267,南西
400,7499.87,15.9458,7.9129,42.5,143.5,2017073015,2017,7,30,15,17.80119445570999,243.60767986368606,西南西
300,9582.06,17.1945,5.30946,42.5,143.5,2017073015,2017,7,30,15,17.99558822994125,252.83992525628688,西南西
250,10833.5,20.7869,10.1725,42.5,143.5,2017073015,2017,7,30,15,23.14249268899096,243.92422804699365,西南西
200,12311.3,33.5045,-2.93487,42.5,143.5,2017073015,2017,7,30,15,33.632796228783896,275.0061198162832,西
150,14158.6,32.615,-9.73407,42.5,143.5,2017073015,2017,7,30,15,34.03660299978392,286.6179326749329,西北西
100,16675.2,17.2318,-5.81663,42.5,143.5,2017073015,2017,7,30,15,18.18703152790196,288.6522177431711,西北西
1000,107.04299999999999,-2.5219400000000003,-3.01819,42.5,143.5,2017073018,2017,7,30,18,3.933147879205663,39.88146471015211,北東
975,323.403,-2.9835700000000003,-2.3134799999999998,42.5,143.5,2017073018,2017,7,30,18,3.7754310555617354,52.20976239024692,北東
950,545.315,-3.08414,0.44208100000000006,42.5,143.5,2017073018,2017,7,30,18,3.115662874921002,98.15721966132405,東
925,773.2919999999999,-2.7987900000000003,2.69331,42.5,143.5,2017073018,2017,7,30,18,3.8842173240178,133.8997258045817,南東
900,1007.23,-2.1912700000000003,4.68295,42.5,143.5,2017073018,2017,7,30,18,5.170269327162754,154.92392494585968,南南東
850,1492.76,-1.23411,5.92534,42.5,143.5,2017073018,2017,7,30,18,6.052493833759767,168.2348234011599,南南東
800,2002.92,-0.153282,3.03978,42.5,143.5,2017073018,2017,7,30,18,3.043642196435711,177.11328475013266,南
700,3111.52,2.0489599999999997,4.1951,42.5,143.5,2017073018,2017,7,30,18,4.668736562668748,206.03168996612877,南南西
600,4359.05,3.88099,6.14193,42.5,143.5,2017073018,2017,7,30,18,7.2653552910370465,212.28815495736328,南南西
500,5789.56,3.9169199999999997,10.5192,42.5,143.5,2017073018,2017,7,30,18,11.224786453487656,200.42327345355955,南南西
400,7480.87,17.6834,6.2039,42.5,143.5,2017073018,2017,7,30,18,18.740091002180325,250.6675044865271,西南西
300,9560.88,17.937,5.84417,42.5,143.5,2017073018,2017,7,30,18,18.86505478361778,251.95353745079652,西南西
250,10807.2,20.0559,5.281280000000001,42.5,143.5,2017073018,2017,7,30,18,20.73960084592758,255.24732256351308,西南西
200,12299.1,35.4126,-2.56728,42.5,143.5,2017073018,2017,7,30,18,35.505537108434226,274.14647395911436,西
150,14154.8,34.3085,-9.211910000000001,42.5,143.5,2017073018,2017,7,30,18,35.52368868935348,285.02956195612296,西北西
100,16666.1,17.1348,-6.351,42.5,143.5,2017073018,2017,7,30,18,18.273931488325108,290.33718446062016,西北西
1000,111.821,-4.243,-1.8917599999999999,42.5,143.5,2017073021,2017,7,30,21,4.645622121696943,65.97008958361783,東北東
975,328.14,-5.64081,0.263996,42.5,143.5,2017073021,2017,7,30,21,5.646984269866174,92.67954912577065,東
950,550.391,-5.9019900000000005,2.42066,42.5,143.5,2017073021,2017,7,30,21,6.3791128533441075,112.30064397492782,東南東
925,778.301,-5.40426,4.17405,42.5,143.5,2017073021,2017,7,30,21,6.828522501251643,127.68116688477544,南東
900,1011.5,-5.48001,5.04249,42.5,143.5,2017073021,2017,7,30,21,7.446960118075025,132.6190431837387,南東
850,1495.13,-4.32845,4.040719999999999,42.5,143.5,2017073021,2017,7,30,21,5.921393207759471,133.03096077041712,南東
800,2005.16,-3.87405,3.41652,42.5,143.5,2017073021,2017,7,30,21,5.165353067593734,131.40903181276423,南東
700,3109.67,-3.23625,1.03919,42.5,143.5,2017073021,2017,7,30,21,3.3990042539838043,107.80230789196018,東南東
600,4355.05,9.782010000000001,7.7740800000000005,42.5,143.5,2017073021,2017,7,30,21,12.494960563623241,231.52469747474123,南西
500,5786.06,12.7616,14.7269,42.5,143.5,2017073021,2017,7,30,21,19.48691915542321,220.91057638144727,南西
400,7482.87,12.9877,10.9366,42.5,143.5,2017073021,2017,7,30,21,16.97909216801652,229.90015209828528,南西
300,9554.5,14.7753,9.78967,42.5,143.5,2017073021,2017,7,30,21,17.724196139709694,236.472740916629,西南西
250,10801.3,26.8866,3.4750699999999997,42.5,143.5,2017073021,2017,7,30,21,27.110244762172474,262.6353979085603,西
200,12300.3,34.8961,-1.7386599999999999,42.5,143.5,2017073021,2017,7,30,21,34.93938656882229,272.8523408454308,西
150,14160.2,30.3675,-5.96802,42.5,143.5,2017073021,2017,7,30,21,30.948381524247758,281.1184456260981,西
100,16673.1,18.5489,-6.44615,42.5,143.5,2017073021,2017,7,30,21,19.637070581746656,289.16346176474514,西北西
